rftools/visibility/ucuaaei14f;1;47.80396;13.109844;12;0;0;10;1;0.25;47.9788914022666;12.9803466796875;47.7762520439324;13.194580078125
rftools/visibility/0t43xzwnnz;db0zm;48.184086;11.611249;65;0;0;10;3;0.25;49.084086;10.311249;47.284086;12.911249
rftools/visibility/g2p07hrrai;2;47.841167;12.654778;25;47.748056;12.25;3;1;0.25;48.1550928547602;11.9805908203125;47.5691137586671;13.3154296875
rftools/visibility/sb3r7yzasu;3;49.0660038;10.536117;220;0;0;10;1;0.25;49.3009493242119;10.7267761230469;49.163746759589;11.0275268554688
rftools/visibility/q5t2yizawj;4;49.0660038;10.536117;220;0;0;10;1;0.25;49.3009493242119;10.7267761230469;49.163746759589;11.0275268554688
rftools/visibility/6x3btnhout;5;49.0660038;10.536117;220;0;0;10;1;0.25;49.3009493242119;10.7267761230469;49.163746759589;11.0275268554688
rftools/visibility/fcrn2ko4kv;5;49.0660038;10.536117;220;0;0;10;1;0.25;49.3009493242119;10.7267761230469;49.163746759589;11.0275268554688
rftools/visibility/jv0g7j6q9e;6;49.160154652338;10.3230285644531;220;0;0;10;1;0.25;49.4761555668421;10.3999328613281;49.2409140531661;10.6636047363281
rftools/visibility/b6wb5dw9qx;hochkar;47.7101802597382;14.907363653183;10;0;0;10;1;0.25;48.6101802597382;13.607363653183;46.8101802597382;16.207363653183
rftools/visibility/1ufxo6zif5;hochkar-sandl;47.7101802597382;14.907363653183;10;48.43338;15.471389;10;1;0.25;48.6101802597382;13.607363653183;46.8101802597382;16.207363653183
rftools/visibility/2k1ggcp48m;hochkar-sandl 1;47.7101802597382;14.907363653183;10;48.43338;15.471389;10;1;0.25;48.6002250604689;13.623046875;47.5097803495347;16.1773681640625
rftools/visibility/8razws6wrz;hochkar-sandl 2;47.7101802597382;14.907363653183;10;48.43338;15.471389;10;1;0.25;48.6002250604689;13.623046875;47.5097803495347;16.1773681640625
